#번호	파일	예산	JP
13	/PF_34.PRF	100	カエルの姿をしたアンデッドモンスターです。神聖系魔法や霊体に効力のある武器で戦闘にのぞみましょう。\n
14	/PF_35.PRF	132	底知れぬ魔力を有するアンデッドモンスターです。神聖系魔法や霊体に効力のある武器で、魔法の発動前にダメージを与えるのがいいでしょう。\n
15	/PF_36.PRF	103	奇怪な姿をもつアンデッドモンスターです。まわりの空気に溶け込むようにして獲物をねらう性質があります。\n<EOF>
16	/PF_37.PRF	120	その美しい肢体で近づく者の心をまどわせ捕食するモンスターです。離れた位置からの魔法攻撃にもじゅうぶんな注意が必要です。\n
17	/PF_38.PRF	109	この森の化身とも言うべきおそろしいモンスターです。\n森と一体化した彼らの接近を許すと、非常にやっかいです。\n<EOF>
18	/PF_39.PRF	105	人の心の弱みにつけこむ魔法を得意とするモンスターです。\nそのあやしげな舞いに心うばわれてはなりません。\n<EOF>
19	/PF_40.PRF	131	カオスが生み落とした悪意の権化のようなモンスターです。\n攻撃技が強力で長い射程を持つため、非常にやっかいな相手と言えるでしょう。\n<EOF>
20	/PF_41.PRF	128	時のはざまに追いやられたはずの魔竜が、不死の肉体を得てよみがえったものです。竜に対抗し得る武器はおのずと限られてくるはずです。\n
21	/PF_42.PRF	97	その特異な力は、すべてのものに平等に死をもたらします。\n生命力があなたの運命を決めるでしょう。\n<EOF>
22	/PF_43.PRF	133	魔法を自在にあやつる魔導体です。\nこのモンスターを相手に魔法で勝負をいどむのは得策とは言えません。\n剣の力が生死を分けるでしょう。\n<EOF>
23	/PF_44.PRF	98	カオスが産みだした最強最悪の魔獣です。剣技と魔力をそれぞれの頭部がコントロールしているようです。\n
24	/PF_45.PRF	89	世の混乱に乗じて、ふえつづける盗賊です。\n特に国境をこえる人々をねらっているようです。\n<EOF>
25	/PF_47.PRF	118	弓と小剣で武装した海の荒らくれ者たちです。船から船へと飛びうつる彼らには、特に接近戦で苦戦を強いられることでしょう。\n
26	/PF_48.PRF	78	つねに戦場の最前線に立って戦うことを訓練づけられた、戦闘用の屈強な兵士です。\n
27	/PF_49.PRF	94	針の穴さえ通すと言われる弓の猛者たちです。離れた位置からの攻撃にはじゅうぶん注意が必要です。\n
28	/PF_50.PRF	122	剣の修練を積んでおり、特に乱戦では手を焼くことになるでしょう。数でおされないよう、魔法などを有効に使うのがよいでしょう。\n
29	/PF_51.PRF	107	通常攻撃で受けたダメージを自らの力に変えてしまうおそろしい能力をもっています。\n魔法攻撃が有効でしょう。\n<EOF>
30	/PF_52.PRF	130	教団長の託宣のもとに集まった信者たちです。邪教にとりつかれた彼らは正気を失っており、我が身をかえりみず攻撃してくるので危険です。\n
31	/PF_53.PRF	110	戦場での使用を目的とした魔法を身につけた兵士たちです。彼らは星の力を借りることでその本領を発揮するようです。\n
32	/PF_54.PRF	115	戦闘本能のみが形となった狂戦士です。\n敵意をむき出しにした眼力は、ひとにらみで並みの兵士の戦意をうばいとります。\n<EOF>
33	/PF_55.PRF	98	東方の下級忍者です。戦闘訓練もそれほど受けてはいませんが、あやしげな術の数々には注意が必要です。\n
34	/PF_56.PRF	132	東方の戦闘種族です。彼らは里に集落をかまえ、徹底した戦闘訓練を積みます。一刀両断を旨とする彼らの戦いぶりに惑わされてはなりません。\n
35	/PF_57.PRF	103	東方の忍者の中でも、最高クラスの戦士たちです。\n彼らの間合いに近づくことは、すなわち死を意味します。\n<EOF>
36	/PF_58.PRF	96	雷の魔法をあやつる魔導士です。肉弾戦においては非力なので、術の合間をぬって果敢に攻めましょう。\n
37	/PF_59.PRF	114	炎と冷気の魔法を自在にあやつる魔導士です。体を合わせての戦闘に弱いのは、すべての魔導士に共通して言えることです。\n
38	/PF_60.PRF	112	大地の精霊にはたらきかけて魔法を行使する魔導士たちです。回復魔法も心得ているので、戦いを長引かせると危険です。\n
39	/PF_61.PRF	137	カオスが生み落とした凶悪な魔導士です。存在そのものがカオスであるため、強力な人を混乱させる力を持っています。十分な注意が必要でしょう。\n<EOF>
40	/PF_62.PRF	87	カタそうに見えますが、意外にモロイ岩です。\nなんども攻撃すれば必ずこわせるでしょう。\n<EOF>
41	/PF_63.PRF	103	重そうに見えますが、これが意外と軽い岩です。\n投げたり、押したりすればどかせることができるでしょう。\n<EOF>
42	/PF_70.PRF	133	東方のおぼろ谷に身をひそめる隠れ姫でしたが、そのたぐいまれなる能力に目をつけたゲンユウサイが、出征の折りに幹部に加えたもようです。\n<EOF>
43	/PF_71.PRF	150	ゲンユウサイのわきを固める幹部の中でも、実力が突出している東方の忍者戦士です。この厚いカベがある限り、ゲンユウサイの覇権が揺らぐことはないでしょう。\n
44	/PF_72.PRF,/PF_77.PRF	138	その素性のすべてがナゾに包まれた戦士です。獣人化の能力をそなえていますが、実際のところ彼が獣人族であると証明するものは何一つありません。\n
45	/PF_73.PRF	152	禁教に手を染め、破門を宣告された東方の破戒僧です。山を下りる際にゲンユウサイと出会い、たった一つの問答をかわしただけで永遠の服従を決意したといいます。\n
46	/PF_74.PRF	131	「不死の肉体をもつ者」の名のとおり、彼を滅するすべは私にもわかりません。\nまた、その方法があるのかすらも予想だにできないのです。\n<EOF>
47	/PF_75.PRF	169	東方の覇者、よみがえった冥王、死せる者の神・・・。彼に冠された二つ名は枚挙にいとまがありません。\n秘めた力の全容は、測り知ることができませんが必ず弱点があるはずです。\n<EOF>
48	/PF_76.PRF	123	クィーンズランドの宰相についていた男です。その政治手腕もさることながら、内に秘めた強大な魔力で国政を助けていたようです。\n<EOF>
49	/PF_78.PRF	115	邪悪な精神とカオスの力が融合し、異形な姿に変化をとげています。\n彼はいま、まさしくこの地上において最強最悪です。\n<EOF>
50	/PF_79.PRF	130	クィーンズランドの宰相についていた男ですね。見た目は気弱そうですが、内にどんな野望を秘めたものか、うかがい知ることはできません。\n
51	/PF_80.PRF	164	クィーンズランド女王国の王子です。\n男子であったことから宮廷では不遇を受けたようですが、いまでは立派な救国の戦士として成長しました。\n決断力の弱さが気になります。\n
52	/PF_81.PRF	87	東方のヤマタイ国より、魔将軍ゲンユウサイにしたがい、この地におもむいた忍者戦士です。\n<EOF>
53	/PF_82.PRF	148	クィーンズランドの宮廷に仕えていた僧侶で国を追われた王子とともに、ゲンユウサイをたおす旅をつづけています。\nさまざまな魔法が使いこなせるようです。\n
54	/PF_83.PRF	186	もと軍人としてクィーンズランド宮廷に仕え退役後は王子の教育係をつとめていました。\n女王亡き後、王子の成長を願う心で彼に勝る者はいないでしょう。\n弓の技術はいまだ衰えを知らないようです。\n
55	/PF_85.PRF	170	シシの頭をもつ獣人の戦士です。王子の旅に同行していますが、その目的・正体ともに明らかではありません。\n戦場では、前衛に立てる大きな戦力として、みなの信頼を集めています。\n
56	/PF_86.PRF	110	東方の忍者戦士\n%s1にしたがう『式神』です。\n魔法や弓をあつかい、ある程度は自分の判断で行動できるようです。\n<EOF>
57	/PF_87.PRF	96	東方の忍者戦士\n%s1にしたがう『式神』です。\n刀や手裏剣を用いた攻撃を得意としているようです。\n<EOF>
58	/PF_88.PRF	178	世界的な高峰にのみ住むと言われる“雲海の三賢者”の一人です。\n鈍重なイメージそのままに、つねにゆったりと行動しています。\n武器をきらうかわりに各種の魔法が使いこなせるようです。\n
59	/PF_89.PRF	170	ドラグーン国王の近衛部隊“竜騎士団”の若き騎士です。\nドラゴンのすがたに変わることができる“竜変化”という特殊能力をそなえており、戦場ではその力を余す所なく発揮します。\n
60	/PF_90.PRF	134	魔法書に見受けられる“伝説の魔導士”ではとのウワサが高い魔法使いです。\nその真偽はともかく、たしかに絶大な魔力を有しているようです。\n
61	/PF_91.PRF	162	世間をさわがせている“快盗ナイトバード”その人です。\n弱き者の味方であるというポリシーから庶民の人気を集めていますが、他人に対して心を開くのは不得手なようです。\n
62	/PF_92.PRF	150	海賊船“ガルーダ号”の船長をつとめる女海賊です。\n数年前、ミディ国近海に現れるようになり、またたく間に商船の船乗りから恐れられる存在となっています。\n
63	/PF_93.PRF	172	ロッサム国にねむる神殿跡で、番をつづける巨人です。\n時の流れに取り残されいまでは言葉を通わすこともできなくなっていますが、少なくとも彼から悪意を感じ取ることはできません。\n
64	/PF_95.PRF	148	心やさしかったクィーンズランドの女王。強さと美しさをかねそなえた地上の女神・・・。たましいを抜き取られてなお、我が子の姿を追い求めるのでしょうか。\n
65	/PF_96.PRF	136	ドラグーン国王に忠誠を誓い、歴史に残る数々の大戦を勝利へと導きつづけた勇壮な兵士たち。代はかわれど、その高貴な精神は失われていません。\n
66	/PF_97.PRF	144	ドラグーン竜騎士団の名を天上天下にとどろかせしめた由縁は、すべてこの猛き姿にあらわされています。「最強軍団」の名に恥じぬ勇姿と言えるでしょう。\n
67	/PF_98.PRF	117	何の因果か、邪教団にとらわれ神にささげられんとしている哀れな娘です。\nなんとか助けることはできないものでしょうか。\n<EOF>
68	/PF_99.PRF	114	この森に住みつく妖精のようですね。一口に妖精と言ってもその内訳は様々ですから、彼女のことは私にはわかりかねます。\n
