#대상	JP	KO
# 대상: BIN = 실행 파일(/0_OP.BIN·/1_SRPG.BIN·/2_SRPGED.BIN)에서 «그 문자열 통째» 가 나오는 모든 자리 · /파일@오프셋 = 그 자리 하나 · SKILL = 기술표(22바이트 필드)
# 예산 = 원문 바이트 수(한글 2 · ASCII 1 · 전각 부호 2). 문장부호 뒤 공백은 빌더가 지운다.
BIN	 横視点切替 	 옆시점전환
BIN	水平視点切替	수평시점전환
BIN	　特殊機能　	　특수기능
BIN	遅い	느림
BIN	普通	보통
BIN	速い	빠름
BIN	最速	최속
BIN	モノラル	모노
BIN	ステレオ	스테레오
BIN	<＜>操作説明（バトル中）<＞>	<＜>조작설명（전투 중）<＞>
BIN	名前変更	이름변경
BIN	アイテム	아이템
BIN	個人情報	개인정보
BIN	キャラ一覧	캐릭터목록
BIN	人物紹介	인물소개
BIN	相談	상담
BIN	ロード	로드
BIN	所持金	소지금
BIN	全体マップ	전체 지도
BIN	敵があらわれた！	적이 나타났다!
BIN	技をひらめいた！	기술을 깨달았다!
BIN	行動終了？	행동종료?
BIN	行動終了	행동종료
BIN	岩　	바위
BIN	敵　	적
BIN	味方	아군
BIN	決定ボタンで詳細情報	결정 버튼:상세정보
BIN	　技名　　射程	　기술명　사정
BIN	高さ	높이
BIN	歩けない	못 걸음
BIN	歩ける	걸음
BIN	退却しますか？　	퇴각할까요?
BIN	退却　　　	퇴각
BIN	ロード　　	로드
BIN	行動力が足りない！　	행동력이 부족하다!
BIN	天井が邪魔で使えない！　	천장이 막혀 못 쓴다!
BIN	ＭＰが足りない！	ＭＰ가 부족하다!
BIN	休息するまで使えない！　	휴식 전엔 못 쓴다!
BIN	２つ同時には使えない！　	2개 동시에 못 쓴다!
BIN	ここでは戦えない！　	여기선 못 싸운다!
BIN	ＨＰが少なすぎる！　	ＨＰ가 너무 적다!
BIN	敵数	적군
BIN	ＰＬＡＹＥＲ　　ターン	ＰＬＡＹＥＲ　　턴
BIN	ＮＯＮ－ＰＬＡＹＥＲ　　ターン	ＮＯＮ－ＰＬＡＹＥＲ　　턴
BIN	ＥＮＥＭＹ　　ターン	ＥＮＥＭＹ　　턴
BIN	ターン終了	턴 종료
BIN	相談　　　	상담
BIN	ターン終了？	턴 종료?
BIN	確認－調べる	확인－조사
BIN	確認－話す	확인－대화
BIN	アーサー	아서
BIN	ムサシ	무사시
BIN	エリーゼ	엘리제
BIN	ヘクター卿	헥터 경
BIN	マートフ	마토프
BIN	シシマル	시시마루
BIN	アケビ	아케비
BIN	クロヤシャ	쿠로야샤
BIN	ウィスコ	위스코
BIN	エヴァン	에반
BIN	シャール	샤르
BIN	アッシュ	애쉬
BIN	ディアナ	디아나
BIN	ダイガン	다이간
BIN	データなし	기록 없음
BIN	［本体ＲＡＭ］	［본체ＲＡＭ］
BIN	［カートリッジＲＡＭ］	［카트리지ＲＡＭ］
BIN	古戦場跡	옛 전장
BIN	　 カタカナ   　もどる   終了	　 한글2      　뒤로     끝
BIN	　 ひらがな   　もどる   終了	　 한글1      　뒤로     끝
BIN	クィーンズランド女王国の王子です。\n男子であったことから宮廷では不遇を受けたようですが、いまでは立派な救国の戦士として成長しました。\n決断力の弱さが気になります。	퀸즈랜드 여왕국의 왕자입니다.\n남자라서 궁정에서 푸대접을 받았다고 하지만,지금은 훌륭한 구국의 전사로 자랐습니다.\n결단력이 약한 점이 걱정입니다.
SKILL	ｽﾄﾗｲｸ	스트라이크
SKILL	ﾌｧｲｱﾎﾞｰﾙ	파이어볼
SKILL	防御	방어
/QW00.MAP@136487	%H%m1%V100［%m0ゲンユウサイ%m1］%V0%m0\n	%H%m1%V100［%m0겐유사이%m1］%V0%m0\n
/QW00.MAP@136527	キサマらか。\nこのわしにたてつくやからは！？%b	네놈들이냐.\n감히 이 몸에게 대드는 놈들이!?%b
/QW00.ADV@44	あなた方がさがしもとめてきた敵が、いま目の前にいます。\nおそれずに立ち向かいましょう。	여러분이 찾아 헤매던 적이\n지금 눈앞에 있습니다.\n두려워 말고 맞서 싸웁시다.
/WAZAHELP.MSG@852	敵１体に対して剣で斬りかかる技です。	적 하나를 검으로 베는 기술입니다.
BIN	ﾊﾟﾜｰ	파워
